ID,PRODUTO,CATEGORIA PRODUTO,QTDE,VALOR,DESCONTO,TOTAL,LOJA,VENDEDOR,CLIENTE,SEXO,ESTADO CIVIL,DATA,PERIODO,MES
70,U,BC,2,297,0.03,576.18,FFGG,EEDDE,CTIFWL GVEVUZJA,f,d,2019-01-24,2019-01,1
71,V,BC,1,299,0.02,293.02,FGFF,EDEED,TFWERV UUUNMDPV,f,c,2019-06-18,2019-06,6
72,P,CC,9,294,0.02,2593.08,GFGG,EDEDD,PMYIXS UCZBKNGO,f,c,2019-05-12,2019-05,5
73,Z,AB,8,251,0.01,1987.92,GGFG,EEDDD,XTYZKI JSODXKAE,f,-,2019-11-15,2019-11,11
74,T,CA,1,240,0.04,230.4,GGGF,DEEEE,EQLKHE JTQUZLJA,f,-,2019-05-23,2019-05,5
75,Q,AB,3,231,0.02,679.14,FFGF,DDEED,HYVJAG UYHFTSBT,f,-,2019-05-14,2019-05,5
76,N,CA,3,226,0.0,678.0,GFFG,EDDDE,UAHCNJ TIPCAUDG,m,s,2019-08-26,2019-08,8
77,A,BB,2,205,0.01,405.9,GGFF,EDEED,OJZQWW WHXSDDLQ,f,c,2019-11-05,2019-11,11
78,W,AB,5,170,0.04,816.0,FGFF,DDEDE,FPDWQU KRYRNQSJ,m,-,2019-04-19,2019-04,4
79,L,BB,1,254,0.01,251.46,GGFG,DDEED,KHZNEG KPFQJAWU,-,c,2019-02-18,2019-02,2
80,D,AC,4,177,0.04,679.68,FGFF,DEEED,RJSFVC VMDTCIIU,m,s,2019-12-25,2019-12,12
81,T,AC,8,166,0.03,1288.16,FGGF,DEEED,ETIRLJ WUKGKCSQ,m,-,2019-04-25,2019-04,4
82,H,BB,6,155,0.02,911.4,GFGG,EEDED,ZVICOL JTSVJHPQ,f,c,2019-11-02,2019-11,11
83,U,CB,9,165,0.01,1470.15,FFFF,DDEED,VPOISM FXJMWYPV,f,s,2019-09-30,2019-09,9
84,K,CC,3,221,0.0,663.0,GGGG,EEEDD,XTRQFQ ELSFJGTE,m,s,2019-12-02,2019-12,12
85,Q,AC,2,255,0.02,499.8,GGGG,DDEDD,XCSZPT RLTBWREK,m,s,2019-08-23,2019-08,8
86,A,BB,7,211,0.04,1417.92,GGFG,DEDED,BIOBJO RGSRDLHV,m,d,2019-12-01,2019-12,12
87,H,BA,7,293,0.04,1968.96,GGGF,DEEDD,PYFHDT RFPLHPGD,m,c,2019-03-12,2019-03,3
88,N,BA,1,269,0.02,263.62,FGGG,DEDED,VPOQJR TPJZOQNG,f,-,2019-08-23,2019-08,8
89,J,AC,3,283,0.03,823.53,FGGF,DDEDD,WDTFBT UDWIPDZW,m,-,2019-07-19,2019-07,7
90,K,CB,4,207,0.02,811.44,GGGF,EDDDD,GZIBHE DGVUWNHD,-,c,2019-10-25,2019-10,10
91,Y,BB,4,283,0.0,1132.0,FFFG,EEDED,VONPOX ZEBJXEHC,m,c,2019-12-18,2019-12,12
92,K,CC,9,173,0.02,1525.86,GFFF,EEEED,JFYOQZ FQGKFMYW,-,-,2019-08-08,2019-08,8
93,M,AC,7,176,0.04,1182.72,GGGG,EEDDE,QKRINE YVTDULER,m,-,2019-12-01,2019-12,12
94,V,BC,8,289,0.02,2265.76,GGGG,DDDEE,FDHLIM TKAUCVEV,m,-,2019-05-24,2019-05,5
95,O,CC,9,221,0.01,1969.11,FFGG,DDDDD,BFTGON CMGRKFJV,-,s,2019-07-15,2019-07,7
96,E,AC,3,296,0.04,852.48,GFFF,DEEDD,BJPWAO SDOQEACC,m,d,2019-05-05,2019-05,5
97,H,BB,2,269,0.01,532.62,FGGG,EDDEE,QFFEVB POHRVWLA,f,-,2019-03-19,2019-03,3
98,P,AA,5,186,0.03,902.1,FGGG,DEDEE,TDYDKL WAWNHEEA,f,d,2019-02-08,2019-02,2
99,I,CB,1,164,0.01,162.36,GFGG,EEDDD,VMWTHS XMLLCBTE,a,s,2019-10-23,2019-10,10
100,C,BA,5,157,0.04,753.6,FFGF,EEDDD,EVADZF YPCZFMAM,m,-,2019-09-13,2019-09,9
